sell_time,sell_volume,product_sku,Chinese_name,freezer
2023-07-10 16:13:12,2,MN_SB_BQL_LMJ_80,蒙牛随变爆浆流芯朗姆酒口味爆浆冰淇淋80g,MNG23H50934
2023-07-10 16:50:52,1,MN_BJ_BB_SGQB_92,蒙牛冰+四果奇冰棒冰23g,MNG23H50646
2023-07-10 16:51:52,1,MN_QT_XG_YZGL_70,蒙牛杨枝甘露口味雪糕70g,MNG23H50646
2023-07-10 17:01:49,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50646
2023-07-10 18:27:29,1,MN_SB_XG_ZZCP_60,蒙牛随变榛子脆皮冰淇淋60g,MNG23H50646
2023-07-10 18:27:49,1,MN_SB_XG_QKLLNLCP_56,蒙牛随变奶酪脆皮口味雪糕56g,MNG23H50646
2023-07-10 19:59:34,2,MN_BJ_BB_HBQKL_50,蒙牛蒙牛黑棒巧克力口味雪糕70g,MNG23H50646
2023-07-10 19:59:34,2,MN_BJ_BB_MGXN_75,蒙牛冰+芒果口味雪泥75g,MNG23H50646
2023-07-11 08:07:08,1,MN_YM_XG_HZNN_70,蒙牛优牧红枣牛奶口味雪糕70g,MNG23H50934
2023-07-11 08:55:27,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50319
2023-07-11 09:07:38,1,MN_KACC_XG_CMXC_45,蒙牛酷爱纯脆草莓香草口味脆皮雪糕45g,MNG23H50319
2023-07-11 11:44:34,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50319
2023-07-11 17:03:17,4,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50031
2023-07-11 17:03:17,4,MN_HMM_XG_HMG_65,蒙牛哈蜜蜜雪糕65g,MNG23H50031
2023-07-11 17:03:17,4,MN_LSXQ_XG_LSS_70,蒙牛绿色心情绿莎莎雪糕70g,MNG23H50031
2023-07-11 17:03:17,4,MN_SB_CTBQL_HRBDMG_75,蒙牛随变厚乳布丁口味脆筒冰淇淋73g,MNG23H50031
2023-07-11 17:07:35,1,MN_SB_XG_SXG_LMCZ_75,蒙牛随变随芯果蓝莓橙子口味雪糕75g,MNG23H50031
2023-07-11 17:09:15,5,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50031
2023-07-11 17:09:15,5,MN_HJ_BQL_XCKF_80,蒙牛火炬香草咖啡口味冰淇淋80g,MNG23H50031
2023-07-11 17:09:15,5,MN_HMM_XG_HMG_65,蒙牛哈蜜蜜雪糕65g,MNG23H50031
